time,gFx,gFy,gFz,TgF
17:16:00:178,0.8196,0.1708,0.2567,0.876
17:16:00:179,0.8086,0.1512,0.2467,0.859
17:16:00:185,0.8013,0.1437,0.2516,0.852
17:16:00:188,0.7886,0.1520,0.2623,0.845
17:16:00:194,0.7710,0.1632,0.2804,0.836
17:16:00:198,0.7531,0.1671,0.3019,0.828
17:16:00:207,0.7426,0.1625,0.3146,0.823
17:16:00:208,0.7409,0.1571,0.3146,0.820
17:16:00:215,0.7473,0.1520,0.3168,0.826
17:16:00:218,0.7563,0.1500,0.3286,0.838
17:16:00:223,0.7661,0.1515,0.3515,0.856
17:16:00:228,0.7805,0.1549,0.3826,0.883
17:16:00:236,0.7957,0.1578,0.4100,0.909
17:16:00:238,0.8067,0.1593,0.4317,0.929
17:16:00:244,0.8125,0.1598,0.4493,0.942
17:16:00:248,0.8140,0.1596,0.4669,0.952
17:16:00:255,0.8162,0.1625,0.4789,0.960
17:16:00:259,0.8162,0.1679,0.4757,0.960
17:16:00:263,0.8140,0.1669,0.4625,0.951
17:16:00:268,0.8108,0.1598,0.4449,0.939
17:16:00:274,0.8089,0.1530,0.4229,0.925
17:16:00:279,0.8133,0.1488,0.4002,0.919
17:16:00:283,0.8208,0.1488,0.3806,0.917
17:16:00:288,0.8306,0.1493,0.3660,0.920
17:16:00:295,0.8433,0.1525,0.3564,0.928
17:16:00:304,0.8619,0.1591,0.3518,0.944
17:16:00:305,0.8917,0.1652,0.3537,0.973
17:16:00:313,0.9355,0.1688,0.3611,1.017
17:16:00:315,0.9873,0.1715,0.3699,1.068
17:16:00:320,1.0448,0.1732,0.3760,1.124
17:16:00:325,1.1029,0.1752,0.3738,1.178
17:16:00:329,1.1525,0.1806,0.3655,1.223
17:16:00:335,1.1868,0.1904,0.3596,1.255
17:16:00:339,1.2159,0.1999,0.3579,1.283
17:16:00:345,1.2371,0.2001,0.3630,1.305
17:16:00:349,1.2440,0.1940,0.3755,1.314
17:16:00:355,1.2440,0.1842,0.3840,1.315
17:16:00:360,1.2515,0.1723,0.3777,1.319
17:16:00:364,1.2618,0.1610,0.3523,1.320
17:16:00:369,1.2704,0.1512,0.3180,1.318
17:16:00:376,1.2767,0.1405,0.2858,1.316
17:16:00:379,1.2779,0.1290,0.2586,1.310
17:16:00:385,1.2801,0.1138,0.2376,1.307
17:16:00:389,1.2586,0.1082,0.1968,1.279
17:16:00:396,1.2361,0.1070,0.1706,1.252
17:16:00:408,1.2071,0.1134,0.1420,1.221
17:16:00:409,1.1917,0.1151,0.1367,1.205
17:16:00:410,1.1789,0.1165,0.1266,1.191
17:16:00:416,1.1645,0.1175,0.1335,1.178
17:16:00:419,1.1552,0.1151,0.1518,1.171
17:16:00:428,1.1335,0.1236,0.1640,1.152
17:16:00:430,1.1310,0.1317,0.1948,1.155
17:16:00:435,1.1112,0.1537,0.1926,1.138
17:16:00:439,1.1095,0.1578,0.2327,1.145
17:16:00:444,1.0919,0.1688,0.2398,1.131
17:16:00:449,1.0685,0.1838,0.2288,1.108
17:16:00:455,1.0538,0.1904,0.2300,1.095
17:16:00:460,1.0430,0.1948,0.2376,1.087
17:16:00:466,1.0445,0.2036,0.2315,1.089
17:16:00:470,1.0668,0.2048,0.2300,1.110
17:16:00:475,1.1010,0.1982,0.2308,1.142
17:16:00:480,1.1291,0.1935,0.2154,1.166
17:16:00:485,1.1472,0.1930,0.1836,1.178
17:16:00:489,1.1638,0.1908,0.1521,1.189
17:16:00:496,1.1819,0.1877,0.1345,1.204
17:16:00:508,1.1965,0.1850,0.1313,1.218
17:16:00:509,1.2097,0.1823,0.1386,1.231
17:16:00:510,1.2256,0.1754,0.1526,1.247
17:16:00:516,1.2354,0.1662,0.1662,1.258
17:16:00:519,1.2310,0.1591,0.1714,1.253
17:16:00:524,1.2222,0.1517,0.1733,1.244
17:16:00:530,1.2489,0.1158,0.2227,1.274
17:16:00:536,1.2479,0.0909,0.2276,1.272
17:16:00:539,1.2007,0.0994,0.1856,1.219
17:16:00:544,1.1567,0.1038,0.1626,1.173
17:16:00:549,1.1288,0.0980,0.1508,1.143
17:16:00:556,1.1093,0.0860,0.1384,1.121
17:16:00:560,1.0907,0.0674,0.1240,1.100
17:16:00:565,1.0631,0.0559,0.1144,1.071
17:16:00:570,1.0460,0.0508,0.1193,1.054
17:16:00:575,1.0411,0.0224,0.1083,1.047
17:16:00:579,1.0286,-0.0123,0.0875,1.032
17:16:00:585,1.0008,-0.0289,0.0697,1.004
17:16:00:590,0.9670,-0.0291,0.0589,0.969
17:16:00:596,0.9365,-0.0262,0.0621,0.939
17:16:00:602,0.9079,-0.0289,0.0643,0.911
17:16:00:608,0.8890,-0.0387,0.0670,0.892
17:16:00:612,0.8839,-0.0475,0.0802,0.889
17:16:00:620,0.8788,-0.0548,0.0839,0.884
17:16:00:620,0.8573,-0.0592,0.0621,0.862
17:16:00:625,0.8323,-0.0577,0.0462,0.836
17:16:00:630,0.8326,-0.0573,0.0655,0.837
17:16:00:637,0.8426,-0.0595,0.0858,0.849
17:16:00:641,0.8521,-0.0609,0.1005,0.860
17:16:00:645,0.8641,-0.0599,0.1095,0.873
17:16:00:651,0.8822,-0.0560,0.1166,0.892
17:16:00:657,0.9015,-0.0497,0.1232,0.911
17:16:00:660,0.9164,-0.0414,0.1374,0.928
17:16:00:666,0.9230,-0.0301,0.1606,0.937
17:16:00:670,0.9242,-0.0191,0.1838,0.943
17:16:00:676,0.9228,-0.0089,0.2046,0.945
17:16:00:681,0.9242,0.0009,0.2188,0.950
17:16:00:685,0.9277,0.0114,0.2288,0.956
17:16:00:694,0.9313,0.0227,0.2376,0.961
17:16:00:697,0.9389,0.0305,0.2481,0.972
17:16:00:709,0.9524,0.0351,0.2567,0.987
17:16:00:710,0.9695,0.0386,0.2591,1.004
17:16:00:710,0.9819,0.0422,0.2564,1.016
17:16:00:718,0.9905,0.0437,0.2550,1.024
17:16:00:724,0.9964,0.0434,0.2594,1.030
17:16:00:725,1.0010,0.0430,0.2662,1.037
17:16:00:731,1.0037,0.0434,0.2784,1.043
17:16:00:737,1.0012,0.0434,0.2992,1.046
17:16:00:740,1.0010,0.0412,0.3105,1.049
17:16:00:745,0.9981,0.0386,0.3110,1.046
17:16:00:752,0.9885,0.0386,0.3114,1.037
17:16:00:757,0.9761,0.0390,0.3107,1.025
17:16:00:761,0.9656,0.0393,0.3041,1.013
17:16:00:765,0.9550,0.0381,0.2956,1.000
17:16:00:770,0.9455,0.0315,0.2897,0.989
17:16:00:777,0.9335,0.0224,0.2855,0.976
17:16:00:783,0.9176,0.0161,0.2748,0.958
17:16:00:786,0.8983,0.0100,0.2591,0.935
17:16:00:791,0.8805,0.0065,0.2428,0.913
17:16:00:798,0.8685,0.0048,0.2298,0.898
17:16:00:808,0.8607,0.0041,0.2225,0.889
17:16:00:809,0.8560,0.0036,0.2173,0.883
17:16:00:811,0.8534,0.0041,0.2122,0.879
17:16:00:816,0.8465,0.0058,0.2134,0.873
17:16:00:823,0.8370,0.0114,0.2188,0.865
17:16:00:828,0.8272,0.0202,0.2286,0.858
17:16:00:832,0.8150,0.0300,0.2379,0.850
17:16:00:837,0.7991,0.0388,0.2430,0.836
17:16:00:840,0.7844,0.0476,0.2452,0.823
17:16:00:846,0.7693,0.0562,0.2435,0.809
17:16:00:851,0.7566,0.0632,0.2401,0.796
17:16:00:857,0.7473,0.0701,0.2388,0.788
17:16:00:861,0.7375,0.0782,0.2418,0.780
17:16:00:873,0.7302,0.0852,0.2462,0.775
17:16:00:874,0.7272,0.0906,0.2530,0.775
17:16:00:877,0.7258,0.0962,0.2621,0.778
17:16:00:891,0.7272,0.0997,0.2679,0.781
17:16:00:892,0.7292,0.0999,0.2714,0.784
17:16:00:893,0.7299,0.0958,0.2728,0.785
17:16:00:900,0.7324,0.0904,0.2684,0.785
17:16:00:902,0.7424,0.0823,0.2591,0.791
17:16:00:907,0.7585,0.0723,0.2479,0.801
17:16:00:911,0.7734,0.0652,0.2401,0.812
17:16:00:917,0.7854,0.0593,0.2391,0.823
17:16:00:922,0.7969,0.0542,0.2374,0.833
17:16:00:926,0.8057,0.0481,0.2357,0.841
17:16:00:932,0.8103,0.0386,0.2428,0.847
17:16:00:936,0.8123,0.0276,0.2574,0.853
17:16:00:942,0.8120,0.0175,0.2696,0.856
17:16:00:948,0.8111,0.0095,0.2726,0.856
17:16:00:951,0.8103,0.0024,0.2716,0.855
17:16:00:959,0.8142,-0.0030,0.2706,0.858
17:16:00:962,0.8228,-0.0052,0.2726,0.867
17:16:00:968,0.8316,-0.0049,0.2794,0.877
17:16:00:971,0.8377,-0.0067,0.2868,0.885
